Year,Project Code,Trip No,Location Code,Location,Pot No,Latitude Decimal Degrees,Longitude Decimal Degrees,Specimen No,Number Of Specimens,Recruit Status,Species Code,Sex Code,Width Millimeters,Shell Condition Code,Egg Percent,Egg Development Code,Egg Condition Code,Parasite,Parasite Code,Pot Comment
2019,8,1,16,Glacier Bay,1,58.56306667,-136.1341333,,0,,931,,,,,,,,,No crab
2019,8,1,16,Glacier Bay,2,58.60386667,-136.1792333,,0,,931,,,,,,,,,No crab
2019,8,1,16,Glacier Bay,3,58.60953333,-136.1938667,1,1,Pre_Recruit,931,1,118,3,,,,,,
2019,8,1,16,Glacier Bay,3,58.60953333,-136.1938667,2,1,Juvenile,931,1,84,3,,,,,,
2019,8,1,16,Glacier Bay,3,58.60953333,-136.1938667,3,1,Juvenile,931,1,99,3,,,,,,
2019,8,1,16,Glacier Bay,3,58.60953333,-136.1938667,4,1,Juvenile,931,1,85,3,,,,,,
2019,8,1,16,Glacier Bay,3,58.60953333,-136.1938667,5,1,Pre_Recruit,931,1,124,3,,,,,,
2019,8,1,16,Glacier Bay,3,58.60953333,-136.1938667,6,1,Pre_Recruit,931,1,131,3,,,,,,
2019,8,1,16,Glacier Bay,3,58.60953333,-136.1938667,7,1,Juvenile,931,1,96,2,,,,,,
2019,8,1,16,Glacier Bay,3,58.60953333,-136.1938667,8,1,Pre_Recruit,931,1,132,3,,,,,,
2019,8,1,16,Glacier Bay,3,58.60953333,-136.1938667,9,2,Mature_Female,931,2,94,4,100,1,1,,,
2019,8,1,16,Glacier Bay,3,58.60953333,-136.1938667,10,2,Mature_Female,931,2,87,4,90,1,1,,,
2019,8,1,16,Glacier Bay,3,58.60953333,-136.1938667,11,2,Mature_Female,931,2,92,4,100,1,1,,,
2019,8,1,16,Glacier Bay,3,58.60953333,-136.1938667,12,2,Mature_Female,931,2,90,3,70,1,1,,,
2019,8,1,16,Glacier Bay,3,58.60953333,-136.1938667,13,2,Mature_Female,931,2,91,4,100,1,1,,,
2019,8,1,16,Glacier Bay,3,58.60953333,-136.1938667,14,2,Mature_Female,931,2,88,4,90,1,1,,,
2019,8,1,16,Glacier Bay,3,58.60953333,-136.1938667,15,2,Mature_Female,931,2,83,3,80,1,1,,,
2019,8,1,16,Glacier Bay,3,58.60953333,-136.1938667,16,2,Mature_Female,931,2,77,4,90,1,1,,,
2019,8,1,16,Glacier Bay,3,58.60953333,-136.1938667,17,2,Mature_Female,931,2,87,4,100,1,1,,,
2019,8,1,16,Glacier Bay,3,58.60953333,-136.1938667,18,2,Mature_Female,931,2,93,3,70,1,1,,,
2019,8,1,16,Glacier Bay,3,58.60953333,-136.1938667,19,2,Mature_Female,931,2,84,4,100,1,1,,,
2019,8,1,16,Glacier Bay,3,58.60953333,-136.1938667,20,2,Mature_Female,931,2,94,4,100,1,1,,,
2019,8,1,16,Glacier Bay,3,58.60953333,-136.1938667,21,2,Mature_Female,931,2,80,4,100,1,1,,,
2019,8,1,16,Glacier Bay,3,58.60953333,-136.1938667,22,2,Mature_Female,931,2,93,4,100,1,1,,,
2019,8,1,16,Glacier Bay,3,58.60953333,-136.1938667,23,2,Mature_Female,931,2,85,3,80,1,1,,,
2019,8,1,16,Glacier Bay,3,58.60953333,-136.1938667,24,2,Mature_Female,931,2,82,4,100,1,1,,,
2019,8,1,16,Glacier Bay,3,58.60953333,-136.1938667,25,1,Mature_Female,931,2,92,3,90,1,2,,,
2019,8,1,16,Glacier Bay,3,58.60953333,-136.1938667,26,1,Mature_Female,931,2,71,3,0,4,,,,
2019,8,1,16,Glacier Bay,4,58.62411667,-136.2124167,1,1,Pre_Recruit,931,1,125,4,,,,,,
2019,8,1,16,Glacier Bay,4,58.62411667,-136.2124167,2,1,Pre_Recruit,931,1,123,3,,,,,,
2019,8,1,16,Glacier Bay,4,58.62411667,-136.2124167,3,1,Pre_Recruit,931,1,118,3,,,,,,
2019,8,1,16,Glacier Bay,4,58.62411667,-136.2124167,4,1,Pre_Recruit,931,1,129,3,,,,,,
2019,8,1,16,Glacier Bay,4,58.62411667,-136.2124167,5,1,Pre_Recruit,931,1,125,4,,,,,,
2019,8,1,16,Glacier Bay,4,58.62411667,-136.2124167,6,1,Juvenile,931,1,100,3,,,,,,
2019,8,1,16,Glacier Bay,4,58.62411667,-136.2124167,7,1,Pre_Recruit,931,1,124,3,,,,,,
2019,8,1,16,Glacier Bay,4,58.62411667,-136.2124167,8,1,Pre_Recruit,931,1,135,3,,,,,,
2019,8,1,16,Glacier Bay,4,58.62411667,-136.2124167,9,1,Pre_Recruit,931,1,122,3,,,,,,
2019,8,1,16,Glacier Bay,4,58.62411667,-136.2124167,10,1,Pre_Recruit,931,1,113,3,,,,,,
2019,8,1,16,Glacier Bay,4,58.62411667,-136.2124167,11,1,Pre_Recruit,931,1,126,3,,,,,,
2019,8,1,16,Glacier Bay,4,58.62411667,-136.2124167,12,1,Pre_Recruit,931,1,124,3,,,,,,
2019,8,1,16,Glacier Bay,4,58.62411667,-136.2124167,13,1,Pre_Recruit,931,1,136,4,,,,,,
2019,8,1,16,Glacier Bay,4,58.62411667,-136.2124167,14,1,Pre_Recruit,931,1,129,3,,,,,,
2019,8,1,16,Glacier Bay,4,58.62411667,-136.2124167,15,1,Pre_Recruit,931,1,126,3,,,,,,
2019,8,1,16,Glacier Bay,4,58.62411667,-136.2124167,16,1,Pre_Recruit,931,1,122,3,,,,,,
2019,8,1,16,Glacier Bay,4,58.62411667,-136.2124167,17,1,Pre_Recruit,931,1,121,4,,,,,,
2019,8,1,16,Glacier Bay,4,58.62411667,-136.2124167,18,1,Pre_Recruit,931,1,123,3,,,,,,
2019,8,1,16,Glacier Bay,4,58.62411667,-136.2124167,19,1,Recruit,931,1,143,3,,,,,,
2019,8,1,16,Glacier Bay,4,58.62411667,-136.2124167,20,1,Pre_Recruit,931,1,125,3,,,,,,
2019,8,1,16,Glacier Bay,4,58.62411667,-136.2124167,21,1,Pre_Recruit,931,1,123,3,,,,,,
2019,8,1,16,Glacier Bay,4,58.62411667,-136.2124167,22,1,Recruit,931,1,142,3,,,,,,
2019,8,1,16,Glacier Bay,4,58.62411667,-136.2124167,23,1,Pre_Recruit,931,1,110,4,,,,,,
2019,8,1,16,Glacier Bay,4,58.62411667,-136.2124167,24,1,Pre_Recruit,931,1,113,3,,,,,,
2019,8,1,16,Glacier Bay,4,58.62411667,-136.2124167,25,1,Recruit,931,1,138,3,,,,,,
2019,8,1,16,Glacier Bay,4,58.62411667,-136.2124167,26,1,Pre_Recruit,931,1,130,3,,,,,,
2019,8,1,16,Glacier Bay,4,58.62411667,-136.2124167,27,1,Juvenile,931,1,109,4,,,,,,
2019,8,1,16,Glacier Bay,4,58.62411667,-136.2124167,28,1,Pre_Recruit,931,1,120,3,,,,,,
2019,8,1,16,Glacier Bay,4,58.62411667,-136.2124167,29,1,Pre_Recruit,931,1,118,3,,,,,,
2019,8,1,16,Glacier Bay,4,58.62411667,-136.2124167,30,1,Pre_Recruit,931,1,113,3,,,,,,
2019,8,1,16,Glacier Bay,4,58.62411667,-136.2124167,31,1,Pre_Recruit,931,1,110,3,,,,,,
2019,8,1,16,Glacier Bay,4,58.62411667,-136.2124167,32,1,Recruit,931,1,144,3,,,,,,
