Year,Project,Trip No,Trip Start Date,Trip End Date,Location,Pot No,Latitude Decimal Degrees,Longitude Decimal Degrees,timestart,timeend,Buoy No,Depth Fathoms,Pot Type,Pot Dimension Feet,Weight Of Pot Pounds,Bait Method,Pot Escape Device,Substrate Type,Debris Type,Density Strata,Tidbit,Pot Comment,deployment,meantemp
2008,Red King Crab Survey,1,6/3/2008 0:00,6/11/2008 0:00,Barlow Cove,1,58.32548333,-134.87885,6/7/2008 14:36,6/8/2008 7:49,23,30,Cone,NA,NA,NA,NA,Unknown,Large Brown Kelp,High,NA,,1,NA
2008,Red King Crab Survey,1,6/3/2008 0:00,6/11/2008 0:00,Barlow Cove,2,58.3275,-134.88345,6/7/2008 14:39,6/8/2008 8:02,26,34,Cone,NA,NA,NA,NA,Mud,NA,High,NA,,2,NA
2008,Red King Crab Survey,1,6/3/2008 0:00,6/11/2008 0:00,Barlow Cove,3,58.33268333,-134.8866167,6/7/2008 14:43,6/8/2008 8:20,25,39,Cone,NA,NA,NA,NA,Unknown,NA,Medium,NA,,3,NA
2008,Red King Crab Survey,1,6/3/2008 0:00,6/11/2008 0:00,Barlow Cove,4,58.33688333,-134.8897833,6/7/2008 14:48,6/8/2008 8:32,8,39,Cone,NA,NA,NA,NA,Unknown,NA,Medium,8,,4,4.597777778
2008,Red King Crab Survey,1,6/3/2008 0:00,6/11/2008 0:00,Barlow Cove,5,58.34025,-134.8859667,6/7/2008 14:52,6/8/2008 8:43,22,57,Cone,NA,NA,NA,NA,Unknown,NA,Medium High,227,,5,NA
2008,Red King Crab Survey,1,6/3/2008 0:00,6/11/2008 0:00,Barlow Cove,6,58.34281667,-134.8904333,6/7/2008 14:56,6/8/2008 8:52,16,58,Cone,NA,NA,NA,NA,Unknown,Large Brown Kelp,Medium Low,16,,6,4.387777778
2008,Red King Crab Survey,1,6/3/2008 0:00,6/11/2008 0:00,Barlow Cove,7,58.3461,-134.8886167,6/7/2008 16:54,6/8/2008 9:02,12,70,Cone,NA,NA,NA,NA,Unknown,Large Brown Kelp,Medium,NA,,7,NA
2008,Red King Crab Survey,1,6/3/2008 0:00,6/11/2008 0:00,Barlow Cove,8,58.35391667,-134.8865333,6/7/2008 15:03,6/8/2008 9:12,3,64,Cone,NA,NA,NA,NA,Unknown,NA,Medium,3,,8,4.592631579
2008,Red King Crab Survey,1,6/3/2008 0:00,6/11/2008 0:00,Barlow Cove,9,58.35516667,-134.8914833,6/7/2008 15:07,6/8/2008 9:24,7,83,Cone,NA,NA,NA,NA,Unknown,NA,Medium Low,7,,9,NA
2008,Red King Crab Survey,1,6/3/2008 0:00,6/11/2008 0:00,Barlow Cove,10,58.35831667,-134.8923167,6/7/2008 15:11,6/8/2008 9:39,5,86,Cone,NA,NA,NA,NA,Unknown,NA,Medium,NA,,10,NA
2008,Red King Crab Survey,1,6/3/2008 0:00,6/11/2008 0:00,Barlow Cove,11,58.36323333,-134.89535,6/7/2008 15:16,6/8/2008 9:48,1,89,Cone,NA,NA,NA,NA,Unknown,Large Brown Kelp,Medium Low,1,,11,4.769444444
2008,Red King Crab Survey,1,6/3/2008 0:00,6/11/2008 0:00,Barlow Cove,12,58.36768333,-134.9023167,6/7/2008 15:20,6/8/2008 10:01,19,86,Cone,NA,NA,NA,NA,Unknown,NA,Medium Low,20,,12,4.823611111
2008,Red King Crab Survey,1,6/3/2008 0:00,6/11/2008 0:00,Barlow Cove,13,58.3694,-134.9036333,6/7/2008 15:30,6/8/2008 10:10,10,82,Cone,NA,NA,NA,NA,Unknown,NA,Medium,10,,13,NA
2008,Red King Crab Survey,1,6/3/2008 0:00,6/11/2008 0:00,Barlow Cove,14,58.3696,-134.9002667,6/7/2008 15:32,6/8/2008 10:19,20,95,Cone,NA,NA,NA,NA,Rock,NA,Medium,207,,14,NA
2008,Red King Crab Survey,1,6/3/2008 0:00,6/11/2008 0:00,Barlow Cove,15,58.37173333,-134.9,6/7/2008 15:34,6/8/2008 10:28,18,95,Cone,NA,NA,NA,NA,Unknown,NA,Medium,18,,15,5.500526316
2008,Red King Crab Survey,1,6/3/2008 0:00,6/11/2008 0:00,Barlow Cove,16,58.37168333,-134.89645,6/7/2008 15:43,6/8/2008 10:37,24,68,Cone,NA,NA,NA,NA,Shell,NA,Medium High,23,,16,NA
2008,Red King Crab Survey,1,6/3/2008 0:00,6/11/2008 0:00,Barlow Cove,17,58.37553333,-134.9106833,6/7/2008 15:49,6/8/2008 10:52,21,57,Cone,NA,NA,NA,NA,Unknown,NA,Low/Zero,217,,17,NA
2008,Red King Crab Survey,1,6/3/2008 0:00,6/11/2008 0:00,Barlow Cove,18,58.37928333,-134.9107833,6/7/2008 15:53,6/8/2008 11:03,6,85,Cone,NA,NA,NA,NA,Unknown,NA,Medium Low,2,,18,4.692105263
2008,Red King Crab Survey,1,6/3/2008 0:00,6/11/2008 0:00,Barlow Cove,19,58.37796667,-134.9028667,6/7/2008 15:57,6/8/2008 11:12,15,98,Cone,NA,NA,NA,NA,Unknown,NA,Medium High,15,,19,4.852105263
2008,Red King Crab Survey,1,6/3/2008 0:00,6/11/2008 0:00,Barlow Cove,20,58.38471667,-134.90635,6/7/2008 16:04,6/8/2008 11:23,13,100,Cone,NA,NA,NA,NA,Unknown,NA,Medium High,12,,20,4.873
2008,Red King Crab Survey,1,6/3/2008 0:00,6/11/2008 0:00,Barlow Cove,21,58.38715,-134.9111,6/7/2008 16:08,6/8/2008 11:33,2,107,Cone,NA,NA,NA,NA,Unknown,Large Brown Kelp,Medium,9,,21,4.9895
2008,Red King Crab Survey,1,6/3/2008 0:00,6/11/2008 0:00,Barlow Cove,22,58.39,-134.91885,6/7/2008 16:13,6/8/2008 11:43,14,78,Cone,NA,NA,NA,NA,Unknown,NA,Medium Low,14,,22,NA
2008,Red King Crab Survey,1,6/3/2008 0:00,6/11/2008 0:00,Barlow Cove,23,58.39698333,-134.9142833,6/7/2008 16:19,6/8/2008 11:54,9,64,Cone,NA,NA,NA,NA,Unknown,NA,Medium Low,NA,,23,NA
2008,Red King Crab Survey,1,6/3/2008 0:00,6/11/2008 0:00,Barlow Cove,24,58.39746667,-134.9170167,6/7/2008 16:24,6/8/2008 12:04,17,111,Cone,NA,NA,NA,NA,Unknown,Large Brown Kelp,Medium,NA,,24,NA
2008,Red King Crab Survey,1,6/3/2008 0:00,6/11/2008 0:00,Juneau,1,58.53885,-134.9162667,6/4/2008 14:07,6/5/2008 8:13,23,32,Cone,NA,NA,NA,NA,Unknown,NA,Low/Zero,NA,,25,NA
2008,Red King Crab Survey,1,6/3/2008 0:00,6/11/2008 0:00,Juneau,2,58.54455,-134.9047333,6/4/2008 14:12,6/5/2008 8:22,9,36,Cone,NA,NA,NA,NA,Unknown,NA,Low/Zero,NA,,26,NA
2008,Red King Crab Survey,1,6/3/2008 0:00,6/11/2008 0:00,Juneau,3,58.54958333,-134.8686333,6/4/2008 14:23,6/5/2008 8:36,14,53,Cone,NA,NA,NA,NA,Unknown,NA,High,NA,,27,NA
2008,Red King Crab Survey,1,6/3/2008 0:00,6/11/2008 0:00,Juneau,4,58.54868333,-134.8651167,6/4/2008 14:28,6/5/2008 8:48,2,49,Cone,NA,NA,NA,NA,Unknown,NA,High,NA,,28,NA
2008,Red King Crab Survey,1,6/3/2008 0:00,6/11/2008 0:00,Juneau,5,58.54541667,-134.8677667,6/4/2008 14:32,6/5/2008 9:00,13,49,Cone,NA,NA,NA,NA,Unknown,NA,High,NA,,29,NA
2008,Red King Crab Survey,1,6/3/2008 0:00,6/11/2008 0:00,Juneau,6,58.54126667,-134.8638333,6/4/2008 14:37,6/5/2008 9:12,15,50,Cone,NA,NA,NA,NA,Unknown,NA,High,NA,,30,NA
2008,Red King Crab Survey,1,6/3/2008 0:00,6/11/2008 0:00,Juneau,7,58.52856667,-134.8598833,6/4/2008 14:44,6/5/2008 9:30,6,32,Cone,NA,NA,NA,NA,Unknown,NA,High,NA,,31,NA
2008,Red King Crab Survey,1,6/3/2008 0:00,6/11/2008 0:00,Juneau,8,58.51756667,-134.8865167,6/4/2008 14:52,6/5/2008 9:48,21,56,Cone,NA,NA,NA,NA,Unknown,NA,Medium Low,NA,,32,NA
2008,Red King Crab Survey,1,6/3/2008 0:00,6/11/2008 0:00,Juneau,9,58.51033333,-134.85775,6/4/2008 15:03,6/5/2008 10:01,24,41,Cone,NA,NA,NA,NA,Unknown,NA,High,NA,,33,NA
